"Sygnatura czasowa","Twoja obecna rola","Doświadczenie w obecnej roli","Wielkość działu wytwarzającego oprogramowanie w firmie, w której obecnie pracujesz. Alternatywnie: typowy rozmiar firmy, z którą zwykle współpracujesz. ","Czy oprogramowanie jest głównym produktem firmy, czy raczej wspiera działanie firmy?","Jak często korzystasz z narzędzi AI w pracy (chatboty, agenci, integracje w istniejących narzędziach, etc.)","Z jakich narzędzi korzystasz najczęściej?","Jak oceniasz zmianę efektywności swojej pracy związaną z korzystaniem z narzędzi AI?","W jakim stopniu twoja firma (lub klienci) inwestują w narzędzia AI?","Jaki jest stosunek ludzi w firmie (w twoim otoczeniu) do narzędzi AI?","(opcjonalnie) Zostaw dowolny komentarz dotyczący efektywności narzędzi AI ","Pracujesz obecnie?","Jak pewnie czujesz się w obecnej roli w obecnej firmie?","Co jest głównym źródłem niepewności? ","Jak blisko są narzędzia AI do tego, aby Cię zastąpić?","Jakie działania rozważasz jeśli chodzi o swoją przyszłość?","Które działania będą dla Ciebie najważniejsze?","Jeśli planujesz rozwój umiejętności, to jakich?","Jak wygląda według Ciebie przyszłość ról projektowych?"
"2026/03/11 4:30:24 PM EET","Scrum Master","10+ lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","chatboty, NotebookLM, własnej produkcji oprogramowanie budujące backlog i prototypy na podstawie transkrypcji spotkań ze stakeholderami","3","4","5","AI przyspiesza mnóstwo rzeczy, ale jakość wydaje się dobra jedynie powierzchownie. Trzeba wszystko mocno weryfikować, bo poziom halucynacji jest bardzo wysoki.","Tak, ale niepełny etat.","3","Dublujące się role w firmie (np. project managerowie mają częściowo zakres obowiązków pokrywający SMów i PO, a mają politycznie mocną pozycję w firmie. Project managerowie mieli władzę w ręku, SMi byli niżej w hierarchii, byli co najwyżej siłą doradczą, której starano się nie wpuszczać powyżej poziomu zespołu; project managerowie blokowali głębszą transformację sposobów pracy, bo zagrażała prestiżowi ich ról, np. poprzez oddanie decyzjności do PO; zmieniły się nazwy stanowisk, nieznaczne usprawnienia procesowe i inżynierskie, C-level myśli że już jesteśmy zwinni, więc teraz wymaga użycia AI).

Kiepska prasa SMów - co gorsza głównie narzekają na umierający Agile i umierające role SMów, konsultanci i trenerzy zwinności, którzy od lat wciskali środowisku swoje usługi i szkolenia.

Mało ofert na tynku dotyczące roli SM/AC.","1","Zmiana roli (ale nadal w podobnym środowisku);Inwestycja w narzędzia (w tym w AI)","1. Pokazuję swoją wartość w obecnej firmie.
2. Rozglądam się ofertami w rolach kierowniczych w firmach produktowych, IT.","","Firmy potrzebują osób skupionych na efektywnności, continous improvement (od tematów technicznych, przez produktowe do interakcji międzyludzkich). W zależności od wielkości firmy będą to menedżerowie, agile coache, delivery leaderzy. Duże firmy mają często struktury z mnóstwem zależności i tam jest potrzeba więcej osób w rolach skupionych na efektywności. W mniejszych lub lepiej zorganizowanych firmach może to być jedno z zadań managerów."
"2026/03/11 6:37:40 PM EET","Scrum Master","3-5 lat","1-50 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Chaty i wtyczki w programach ","4","3","5","","Urlop macierzyński ","2","Pomniejszanie diali IT","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku)","Znalezienie czegoś odpowiedniego dla siebie, roli przennej i pewnej ","","Ograniczenie liczby osób potrzebnych i wyśrubowane oczekiwania (osoby z doświadczeniem, skuteczne w roli, seniorskie umiejętności ) "
"2026/03/11 6:56:19 PM EET","Scrum Master","5-10 lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Copilot, ChatGPT","4","3","3","Super pomoc, ale w połączeniu z  doświadczeniem, wiedzą i intuicją czlowieka ","Tak. Ekwiwalent pełnego etatu","5","Aktualna sytuacja w firmie i feedback ","2","Całkowita zmiana zawodu (zmiana branży)","Przebranżowienie, ale z wykorzystaniem zdobytej wiedzy","","Zakładam wyjście z podejścia projektowego, na rzecz produktowego "
"2026/03/11 7:25:13 PM EET","Learning and development specialist ","1-3 lata","500+","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Raz dziennie","Geminai","4","2","4","","Nie","4","Firma jest lekko zacofana jeśli chodzi o bycie pionierem w świecie technologii.","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Zmiana roli (ale nadal w podobnym środowisku)","Certyfikacja i podnoszenie kompetencji językowych ","J.w. ","Trudno powiedzieć "
"2026/03/12 10:12:14 AM EET","Project Manager","10+ lat","50-150 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Copilot (Microsoft + GitHub), Claude Code","4","4","5","","Tak, ale niepełny etat.","5","czuje się pewnie - moja rola zostanie zachowana przez najbliższe lata, ale pewnie będę w stanie kontrolować więcej projektów na raz.","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI)","hands on experience w używaniu AI","tworzenie swoich własny projektów przy użyciu Claude Code (zarówno prywatnych jak i zawodowych) usprawnianie środowiska naokoło mnie. ","w ciągu najbliższych 3-5lat człowiek będzie potrzebny do ogarniania procesów E2E i koordynacji agentów którzy będą naszymi rączkami usprawniającymi działanie produktów i systemów. "
"2026/03/12 10:17:14 AM EET","Project Manager","1-3 lata","500+","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Copilot podlaczony pod siec firmowa , wewnetrzne narzedzia firmowe oparte na LLM/AI","4","5","3","","Tak. Ekwiwalent pełnego etatu","5","mozliwosci rozwoju, mozliwe restrukturyzacje ","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Inwestycja w narzędzia (w tym w AI);AI PRoject MAnager ;) ","Uzywanie AI w pm ","rozwoj narzedzi AI jako PM i rozwoj i testowanie nowych narzedzi ","normalnie ;) "
"2026/03/12 10:38:26 AM EET","Project Manager","3-5 lat","50-150 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Raz dziennie","ChatGPT, Gemini, Notebook LM","4","4","4","","Tak. Ekwiwalent pełnego etatu","3","Rynek pracy","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Zmiana roli (ale nadal w podobnym środowisku)","Rozwój umiejętności i zdobywanie nowej wiedzy","Data","zwiększanie intensywności pracy"
"2026/03/12 10:39:15 AM EET","Project Manager","3-5 lat","50-150 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Copilot, Gemini, ChatGPT","3","4","5","","Tak. Ekwiwalent pełnego etatu","3","Zmiana struktur w organizacji (przejęcie przez inną firmę)","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja","Rozwój umiejętności ","Zarządzanie projektami wielkoformatowymi i transformacje AI","AI robi rzeczy nie kreatywne; tam gdzie jest potrzebne myślenie poza schematami, tam nadal będą potrzebni ludzie. "
"2026/03/12 12:33:31 PM EET","Delivery Lead","10+ lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Copilot, gpt ","4","5","4","","Tak. Ekwiwalent pełnego etatu","5","Dobre wyniki, potrzeby moich klientów i dużo pracy (nawet za dużo) dla mnie ","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Całkowita zmiana zawodu (zmiana branży);Otworzenie własnego biznesu (lub stworzenie produktu);Niezależność finansowa i wcześniejsza emerytura (FIRE)","Rozwój Czepiec swojego i zmianą trochę branży ","Dobrostan ludzki, zdrowie psychiczne ","Zastąpienie pracy powtarzalnej przez AI praca ludzka na wyższym poziomie. Ludzie będą potrzebni zawsze!;)"
"2026/03/12 1:36:12 PM EET","Project Manager","5-10 lat","150-500 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Raz na kilka dni","Copilot","4","4","3","","Tak. Ekwiwalent pełnego etatu","4","Koniec projektu","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku)","G","G","Umiejętności miękkie będą dalej poszukiwane w zarządzaniu projektami"
"2026/03/12 7:46:55 PM EET","Project Manager","1-3 lata","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Knowledge Agent","5","5","4","Szkoda, że licencje narzędzi AI są zbyt kosztowne, każdy powinien mieć do nich dostęp","Tak. Ekwiwalent pełnego etatu","4","Dynamika zmian","1","Rozwój umiejętności i zdobywanie nowej wiedzy","Lifelong learning","Snowflake","Nic się nie zmieni, AI będzie pomagać, nie przeszkadzać"
"2026/03/13 9:26:50 PM EET","trener/doradca/konsultant","10+ lat","50-150 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Raz na kilka dni","copilot, chatGPT","4","3","4","","Tak. Ekwiwalent pełnego etatu","5","moja praca jest oparta na kontaktach z ludźmi","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI)","Rozwój, jak zawsze","efektywne korzystanie z AI","Kierownicy będą zawsze potrzebni"
"2026/03/13 10:37:37 PM EET","Agile Coach/Agile Consultant","10+ lat","500+","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","ChatGPT, Gemini, Rovo, zabieram się dopiero za Claude / Cursor","3","2","4","","Musiałem ""zatrudnić"" siebie na kontrakt, już nie pracuję z wybranymi klientami. Budżety na doradztwo i szkolenia prawie nie istnieją.","3","Regres i dysfunkcje transformacji Agile. Większość organizacji ma Zombi Agile, brak zmian systemowych. Brak realnej zmiany został oceniony jako -> Agile nie działa -> To wina Agile Coachy -> To bezwartościowi SM -> Wracamy do twardego Delivery. Żyjemy w czasach gdzie w 2026 r. ""Senior Dev"" nigdy nie pracował w Scrum gdzie była samo-organizacja/samo-zarządzanie, od SM oczekuje się że będzie pchał kolanem i ścigał ludzi jako Delivery Manager, a CI/CD i jego ""ciągłość"" polega na tym, że co 2 tyg. mamy 3h okno na release na proda ze sztabem ludzi na linii i QA jeszcze sprawdza ręcznie czy wszystko poszło ok. A w co niektórych organizacjach, release co kilka miesięcy, monolit, QA tylko manualne, 5 dni przez sztab ludzi. Ale to jest właśnie praca w Enterprise.","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Zmiana roli (ale nadal w podobnym środowisku);Całkowita zmiana zawodu (zmiana branży);Inwestycja w narzędzia (w tym w AI)","Aktualnie nadganiam certyfikaty, za długo to odkładałem i jak się okazuje to 1 filtr odcięcia do istniejących jeszcze kontraktów. Później wiedza i praktyka w Agentic AI. Później więcej AI Product Manager. Później AI Ways of Working, projektowanie organizacji jako środowiska gdzie dominują Agenci AI z Humans in the Loop. A w międzyczasie trzeba myśleć o Agroturystyce na starość.","AI context engineering, AI work system design, więcej Product Mgt., Product Discovery z AI. Alternatywnie rzucę to wszystko i wyjadę w Bieszczady. Na serio jest już bardzo zmęczony.","To będzie monitorowanie i projektowanie ways of working dla agentów AI. Życzę sobie, aby faktycznie było więcej myślenia produktowego i eksperymentowania. I może w końcu przestaniemy pałować się z zespołami które tylko udają interdyscyplinarne, a skupimy się na  Flow Metrics + Product Metrics -> Product Outcomes."
"2026/03/14 12:00:27 AM EET","Project Manager","10+ lat","150-500 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Copilot, Perplexity","3","4","4","","Tak. Ekwiwalent pełnego etatu","4","Żyjemy w bardzo dynamicznych czasach, z tego powodu trudno mieć pewność jeśli chodzi o przyszłość","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI);Niezależność finansowa i wcześniejsza emerytura (FIRE)","Rozwój nowych umiejętności","Zwiększanie wartości używania AI w codziennej pracy.","Zaangażowanie poszczególnych ról będzie bardziej strategiczne, a mniej operacyjne."
"2026/03/14 12:20:34 PM EET","Project Manager","5-10 lat","150-500 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Raz na kilka dni","Perplexity, chat gpt","1","3","4","","Tak. Ekwiwalent pełnego etatu","5","Moja praca polega w dużym stopniu na zarządzaniu ludźmi, rozmowie, rozwiązywaniu problemów, gdzie często ważne są miekkie czynniki ludzkie i jestem w tym dobra.","1","Rozwój umiejętności i zdobywanie nowej wiedzy","Poszerzanie wiedzy i umiejętności, żeby być elastycznym w zmieniającym się rynku","Psychologia-coaching-rozwijanie umiejętności miękkich, negocjacje;
Narzedzia AI, żeby przyziemne excele i projekty w większości powstawały same, generatory preznetacji ppt (na szczęście nie robię ja, ale chcę umieć);
Cyberbezpeiczeństwo i elektronika - dla poszerzenia znajomości branż","Juniorzy mogą być zstąpienia, ale zespół ludzie prowadzący temat, tak samo jak osoby kierujace, decydujące i mobilizujace do dotrzymania termiów zostaną. 
Wykorzystanie AI się zwiekszy, analiza, development, testy będą szły szybciej, ale nadal to czlowiek bedzie musiam operować i mieć kontrolę na tym co się wytworzyło i umieć to poprawić, zmienić w razie potrzeby."
"2026/03/16 9:54:05 AM EET","Delivery Lead","10+ lat","50-150 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Raz dziennie","GPT, Gemini, Antigravity","5","5","5","","Tak, ale niepełny etat.","4","Rosnąca konkurencja","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Otworzenie własnego biznesu (lub stworzenie produktu);Inwestycja w narzędzia (w tym w AI);Niezależność finansowa i wcześniejsza emerytura (FIRE)","Niezależność finansowa i wcześniejsza emerytura (FIRE)","","dobrze."
"2026/03/16 10:44:20 AM EET","Product Manager/Product Owner","10+ lat","500+","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Cursor, Claude Claw, Gemini, ","5","5","5","game changer z productowca do inżyniera oprogramowania","Tak. Ekwiwalent pełnego etatu","2","zmienność i dynamika rynku, dużo większa pula konkurentów o pieniądze z rynku/uwage użytkowników","1","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI);Niezależność finansowa i wcześniejsza emerytura (FIRE)","development i releasowanie produktów","kodowanie i planowanie architektury, marketing produktów B2C","świetlanie. ktoś to wszystko musi zorkiestrować."
"2026/03/16 2:54:23 PM EET","Delivery Lead","1-3 lata","50-150 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Raz dziennie","Copilot","3","4","3","","Tak. Ekwiwalent pełnego etatu","4","sytuacja na rynku pracy","3","Zmiana roli (ale nadal w podobnym środowisku);Inwestycja w narzędzia (w tym w AI)","Poznawanie narzędzi AI, które mogą być pomocne w PM","","raczej stabilnie - nawet jeśli pojawią się nowe technologie, to będą one miały na celu wspieranie np. PM'a w codziennych obowiązkach, a nie jego kompletne zastąpienie."
"2026/03/18 11:12:46 AM EET","Delivery Lead","0-12 miesięcy","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Raz na kilka dni","Gemini","3","5","2","","Tak. Ekwiwalent pełnego etatu","4","posiadany zestaw umiejętności eksperckich","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Zmiana roli (ale nadal w podobnym środowisku)","rozwój umiejętności","","projekty pomimo możliwości stworzenia ich planów oraz zarządzania w warstwie tworzenia zadań nie powinny pozostać bez nadzoru czynnika ludzkiego. jeśli narzędzia AI będą w stanie skalować poziom zaangażowania każdego członka zespołu indywidualnie na podstawie nie tylko zmiennych widocznych w ramach realizacji tasków, ale również biorąc pod uwagę, że ludzie potrzebują być motywowani w inny sposób niż tylko finansowo lub słowami, to wtedy może zacznę się martwić"
"2026/03/19 12:44:35 AM EET","Scrum Master","10+ lat","1-50 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","chatGPT, Gemini, Copilot","4","5","4","Efektywność adopcji AI jest podobna jak kiedyś z transformacjami agile - jeśli są zaaplikowane do realnych problemów - przyniosą korzyści, jeśli tylko mamy stosować AI dla samego stosowania, to będzie powodem frustracji, przesunięcia wąskich gardeł (np na Code review), nadprodukcji etc. nie będzie korelacji użycia AI z wynikami firmy, co najwyżej rachunki za prąd i tokeny. Stąd ważne, aby używać AI do rozwiązywania realnych problemów.","Tak. Ekwiwalent pełnego etatu","5","Rozwój kompetencji AI, aby nie zostać w tyle.","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku)","Rozwój umiejętności i zdobywanie nowej wiedzy","kodowania agentów / skryptów do codziennej pracy","ja razie stabilnie, bo u nas człowiek pozostaje nadal odpowiedzialny za efekt, nawet jeśli korzysta z AI"
"2026/03/19 3:50:59 PM EET","Project Manager","5-10 lat","50-150 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Raz na kilka dni","Copilot ","3","4","3","","Tak. Ekwiwalent pełnego etatu","2","Hype na AI, do którego mam mieszane odczucia i małą wolę ""doktoryzacji w temacie""","4","Całkowita zmiana zawodu (zmiana branży)","Szkolenie umiejętności, których nie da się zastąpić AI (głównie praca z ludźmi)","nie powiem","Będą względnie łatwe do zastąpienia, aczkolwiek oderwanie czynnika ludzkiego, będzie wzmagało niechęć. "
"2026/03/19 10:26:30 PM EET","Project Manager","3-5 lat","50-150 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Note taker, notebook lm, chat gpt, gemini","5","4","5","","Tak. Ekwiwalent pełnego etatu","4","Płynność projektów ","1","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja","Dywersyfikacja umiejętności ","Szkoła, szkolenia ","Pozytywnie, taka rola miedzyludzka jest istotna"
"2026/03/19 11:17:10 PM EET","DevOps","10+ lat","1-50 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","SANA","2","4","4","DELETE FROM users:","Tak. Ekwiwalent pełnego etatu","1","Redukcja zatrudnienia DEVów na rzecz kosztów licencji na AI.","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Zmiana roli (ale nadal w podobnym środowisku);Całkowita zmiana zawodu (zmiana branży);Otworzenie własnego biznesu (lub stworzenie produktu)","Zmiana roli","Audyt","Zastąpi się ich Agentami AI."
"2026/03/23 9:57:03 AM EET","Scrum Master","5-10 lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Gemini, chat firmowy, chatGPT","2","5","5","","Nie jestem konsultantem. Pracuje na UoP, 1FTE","1","Technicznych kompetencji ","2","Całkowita zmiana zawodu (zmiana branży);Otworzenie własnego biznesu (lub stworzenie produktu)","Otwarte oczy i uszy","Psychologia, branża ","Jak gniazda wytwórcze na produkcji."
"2026/03/24 2:26:39 AM EET","Team Leader","1-3 lata","50-150 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Claude, Cursor, Perplexity","4","4","5","Wzrost efektywności może być jedynie pozorny gdy brak mocnego governance. Nawet jeden mierny pracownik może zalać projekt AI slopem stwarzając wrażenie superproduktywnego. Cierpi projekt przez kosmicznie narastający dług technologiczny, późne wykrywanie niedostatków architektury czy zdegradowaną wiedzę o projekcie.","Tak, ale niepełny etat.","3","Ogromna trudność w przewidzeniu jak może wyglądać praca projektowa nie w perspektywie lat, ale wręcz miesięcy. Nie pomaga presja edukacyjna - rozwój jAI est błyskawiczny, ale też i chaotyczny i silnie sterowany hypem.","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Inwestycja w narzędzia (w tym w AI);Niezależność finansowa i wcześniejsza emerytura (FIRE)","rozwój i przekwalifikowanie","Twarde: Orkiestracja agentów, miękkie: AI governamce","Chciałoby się rzec: utopia agile się ziści: każdy członek zespołu będzie mógł zrobić wszystko.  wpraktyce korporacyjnej zatrą się specjalizacje techniczne, wzrośnie rola architektów i product ownerów-osób odpowiedzialnych za wizję i kształt priduktów. Niski management straci rację bytu."
"2026/03/24 7:48:34 AM EET","Manager zespołu ","3-5 lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Rzadziej niż raz w tygodniu","Perplexity","2","2","3","Moja firma nie ma rozwiązań ai","Umowa o pracę ","4","Firma jest nieinnowacyjna, zostaje w tyle na rynku konkurencji a w tym jej pracownicy, bo nie mamy możliwości rozwoju ","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Inwestycja w narzędzia (w tym w AI)","Rozwój umiejętności i przebranżowienie","Analiza biznesowa oraz rozwiązania ai","Będą potrzebne osoby z doświadczeniem we wdrażaniu rozwiązań AI"
"2026/03/24 3:43:41 PM EET","Engineering manager ","0-12 miesięcy","1-50 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Copilot , Claude Czat","3","5","2","Na tą chwilę firmy dają narzędzia i czekają aż pracownicy sami coś wniosą, sami w wolnym czasie będą eksperymentować i dowozić nowe rozwiązania.","Tak. Ekwiwalent pełnego etatu","4","Umiejętności budowania workflows i większe doświadczenie w używaniu AI na moim stanowisku ","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI)","Zdobywanie i praktykowanie nowej wiedzy","Komunikacja, strategia","Optymistycznie , wg mnie to będzie bottleneck dla produktów w przyszłości "
"2026/03/24 4:10:41 PM EET","Analityk IT w zespole scrum","10+ lat","50-150 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Chat GPT, gemini","3","3","2","Jak dla.mnie pozytywne, choć wiele osób może mieć niefajnie","Tak. Ekwiwalent pełnego etatu","1","Koniec kontraktu","1","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja","Rozwój umiejetnosci","","Na pewno będą się zmieniać Wydaje mi się że to będzie trochę jak z rozwojem środowisk programistycznych Kiedyś trzeba było zmac składnię na pamięć"
"2026/03/24 4:51:11 PM EET","Product Manager/Product Owner","3-5 lat","1-50 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Claude, GPT, Chat PRD ","5","4","5","Bardzo pomocne w dokumentowaniu, porzadkowaniu, generowaniu hipotez, researchu ","Tak, ale niepełny etat.","3","Poniewaz nie wiadomo, czy produkt dalej bedzie miec inwestycji ","2","Rozwój umiejętności i zdobywanie nowej wiedzy","Bardziej stawiam na rozwój strategiczny oraz decyzyjny, a niz na zdobywanie wiedzy technicznej, nie koniecznie umiec to wszytko pod katem praktycznym, ale musze miec wiedze na temat. ","","Koniec czystych ról, tylko PO, czy tylko PM, czy tylko Product Manager, czy tam BA, jedna rol odpowiada za e2e process, i DOBRZE :) robic taski i zajmowac sie priorityzacja, to moze juz AI tak na 80% "
"2026/03/24 10:53:59 PM EET","Senior Insurance Expert ","10+ lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Chat GPT, Open AI, Gemini ","5","5","4","","Tak. Ekwiwalent pełnego etatu","5","AI pozwala mi być efektywną w pracy. Nie może jednak w pełni zastąpić moich kompetencji, dość unikatowych na rynku pracy. To ta unikatowość pozwala mi czuć się pewnie na rynku pracy.","1","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Zmiana roli (ale nadal w podobnym środowisku);Inwestycja w narzędzia (w tym w AI);Nauka języków obcych ","Inwestycja w AI I rozwój kompetencji językowych ","Efektywne wykorzystanie AI oraz biegły język niemiecki ","AI zarządzi priorytetami, stworzy mapy procesów, pozwoli nam odstąpić w dużym procencie od początkowych etapów prac projektowych."
"2026/03/26 12:53:16 PM EET","Scrum Master","5-10 lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Rzadziej niż raz w tygodniu","Copilot, internal AI productivity tool","1","4","5","pracownicy są zmuszani do korzystania z narzędzi AI - są generowane raporty z używania AI, trzeba dodawać prompty do wspólnego globalnego repozytorium (wpływa to na statystyki zespołu), a także wymyślać innowacje zwiększające performance przy wykorzystaniu AI. Wiele osób odbiera to jako podcinanie gałęzi na której sami siedzimy","Tak. Ekwiwalent pełnego etatu","3","sytuacja na rynku pracy jest niepewna, mało ofert, oferty widmo, konkurencja ogromna","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku)","znalezienie nowej pracy jeśli rozwiążą umowę, rozwijanie dochodów z innej działalności","wykorzystanie AI w bieżącej pracy, zdobywanie wiedzy o inwestowaniu","wg mnie obecnie nie wszystkich da się zastąpić AI. Rola koordynatora projektów raczej będzie jeszcze długo potrzebna jakkolwiek to się będzie nazywało. Czy to będzie Delivery Manager, Scrum Master, PM czy jeszcze coś innego ktoś w rozproszonym globalnie środowisku z wymaganiami płynącymi z różnych rynków, problemami w komunikacji różnicami kulturowymi. Ktoś będzie musiał to spinać, wydaje mi się, że będzie to jeszcze przez dłuższy czas człowiek, a nie agent AI"
